,length,length,length,length,length_words,length_words,length_words,length_words
,mean,std,min,max,mean,std,min,max
index,,,,,,,,
0,683.54,788.0725443143168,21,2879,99.0,114.8336863041681,4,419
1,721.62,829.7597117139837,10,3032,104.0,119.34292896471729,2,442
2,756.62,762.801091841304,33,2880,109.38,109.36288405196375,6,416
3,896.76,816.7363014599321,44,3038,130.0,117.61524960129749,8,442
4,1058.5,858.3243820945314,42,3414,154.08,126.1026209894472,8,510
5,927.08,757.3944282868736,21,3410,136.98,112.88507610912642,4,510
6,835.02,708.0277433166884,30,2578,122.26,103.43030977228987,5,362
7,926.88,713.2186212043632,23,2577,133.74,101.74393829409121,4,362
8,788.38,707.8821212257169,18,2605,115.58,103.13832400010688,4,356
9,930.88,730.9899812261871,25,2397,135.14,107.1139027543358,4,378
10,1057.46,971.1625310073763,11,3682,155.6,145.36962038408245,2,512
11,962.92,858.1378948226283,35,3685,141.1,124.03311769730811,6,512
12,801.32,748.2286139780476,46,2655,116.4,109.11630193027428,7,378
13,828.42,848.6449965704634,16,3673,117.56,118.38611336104708,3,509
14,840.68,724.5758066564441,38,2300,121.4,105.54387809855025,7,359
15,831.1,767.8630099443627,25,2436,121.3,111.59680523552414,5,384
16,906.32,750.6749191798767,17,2787,132.04,111.64776243679431,3,447
17,769.16,665.739219643419,44,2036,112.28,98.21177451335062,8,333
18,913.6,834.0670212389214,31,3445,134.64,123.74129695226478,5,512
19,1253.42,800.7351237252848,37,3445,181.72,116.18652140029857,6,512
