,length,length,length,length,length_words,length_words,length_words,length_words
,mean,std,min,max,mean,std,min,max
index,,,,,,,,
0,1144.4,574.3306663288267,70,2729,165.7,83.25428223343279,11,395
1,1130.46,590.0740254495228,70,2450,163.26,87.31080069709215,11,357
2,1266.44,616.9940018892785,69,3673,183.68,86.96408829546381,12,509
3,1214.76,650.7315682196084,77,3414,176.76,96.23537471709025,13,510
4,1187.72,754.2414770577694,62,3410,173.92,114.04471733061733,9,510
5,1094.38,728.4251923267939,55,2946,159.66,107.07438002222032,9,435
6,1110.24,760.093000754459,36,2946,163.48,112.24485625231135,7,435
7,1020.84,789.1482196983411,22,2915,149.46,117.24998759845023,5,462
8,916.74,828.3308470924512,45,3038,134.16,123.65560469072389,7,447
9,1012.04,843.4898100106702,49,3032,145.22,122.7918913097627,7,447
10,934.5,871.8938394936272,44,3445,135.5,126.00506144676919,7,512
11,855.18,857.385482089567,21,3445,123.46,124.23384960531129,4,512
12,737.74,749.3658764146484,33,2565,106.9,108.17960311728012,6,362
13,855.38,916.5584673558106,23,3682,123.68,131.0107395504316,4,512
14,691.56,828.8762532883338,21,3685,99.5,117.92790083741153,4,512
15,563.54,693.2671013956677,11,2244,80.74,98.90292292579277,2,333
16,567.32,728.1864932691294,17,2653,84.38,107.1942524350165,3,376
17,528.28,752.4199608935295,10,2655,78.04,109.66795152567015,2,376
18,453.02,695.4934378129072,18,2766,65.96,99.99693056513775,4,401
19,405.14,634.82795387444,25,2706,60.74,95.75773214370794,5,393
